iter	RMSE
0	0.4109843547
1	0.4104106006
2	0.4099047925
3	0.4094209072
4	0.4087891611
5	0.4081837087
6	0.4075535831
7	0.4069409567
8	0.406402514
9	0.4058738102
10	0.4054012622
11	0.4048751731
12	0.4044460778
13	0.4039852292
14	0.4035910136
15	0.4031561418
16	0.402759667
17	0.4023790024
18	0.4020445415
19	0.4016996853
20	0.4013674623
21	0.4010607449
22	0.4007838694
23	0.4004913134
24	0.3999293332
25	0.3994454685
26	0.3990284712
27	0.3986477041
28	0.398121176
29	0.3976979955
30	0.3972914837
31	0.3968633992
32	0.396499371
33	0.3961325048
34	0.395806153
35	0.3954494648
36	0.3951258274
37	0.3948867666
38	0.3946688651
39	0.3944261975
40	0.3942323722
41	0.3938813489
42	0.3936847396
43	0.3935170661
44	0.3932742978
45	0.3929745602
46	0.3927812858
47	0.3926435538
48	0.3924108434
49	0.3921822248
50	0.3920396688
51	0.3918970255
52	0.3917770668
53	0.3916608583
54	0.3915087682
55	0.391350501
56	0.3911977354
57	0.3909414891
58	0.3907758228
59	0.3906240559
60	0.390466514
61	0.3902945174
62	0.3902294418
63	0.3901543416
64	0.3901034198
65	0.3900410267
66	0.3898871281
67	0.3897263779
68	0.3896816652
69	0.3895513118
70	0.3894030748
71	0.3892297738
72	0.3891257268
73	0.3890673211
74	0.3890034238
75	0.3888633954
76	0.3887649956
77	0.3886717496
78	0.3886283411
79	0.3885291774
80	0.3884426582
81	0.388368729
82	0.3883073649
83	0.388219535
84	0.3881838767
85	0.3880687257
86	0.3880230024
87	0.3878986337
88	0.3878217417
89	0.3877256267
90	0.3876641741
91	0.3876271651
92	0.3875941029
93	0.3875848022
94	0.38750978
95	0.3874867287
96	0.3874378081
97	0.3871724921
98	0.3870054958
99	0.3869141986
