iter	Passed	Remaining
0	78	7782
1	97	4792
2	115	3747
3	130	3130
4	147	2803
5	161	2535
6	175	2338
7	190	2185
8	203	2059
9	217	1957
10	231	1871
11	246	1804
12	259	1738
13	273	1680
14	286	1625
15	301	1581
16	315	1541
17	328	1498
18	342	1460
19	356	1427
20	371	1397
21	385	1367
22	400	1339
23	414	1311
24	428	1285
25	441	1255
26	454	1227
27	468	1203
28	480	1176
29	493	1150
30	506	1128
31	519	1104
32	532	1082
33	545	1058
34	559	1038
35	572	1017
36	585	997
37	599	977
38	612	958
39	625	938
40	639	919
41	652	900
42	665	881
43	679	864
44	693	847
45	705	828
46	719	811
47	732	793
48	746	776
49	758	758
50	772	742
51	786	725
52	799	709
53	813	693
54	827	677
55	841	661
56	854	644
57	867	628
58	882	612
59	895	596
60	908	580
61	922	565
62	935	549
63	949	534
64	963	518
65	977	503
66	990	487
67	1004	472
68	1019	458
69	1033	443
70	1047	427
71	1062	413
72	1074	397
73	1089	382
74	1103	367
75	1116	352
76	1131	337
77	1145	323
78	1160	308
79	1172	293
80	1186	278
81	1201	263
82	1216	249
83	1230	234
84	1245	219
85	1260	205
86	1275	190
87	1288	175
88	1302	161
89	1339	148
90	1354	133
91	1369	119
92	1383	104
93	1391	88
94	1406	74
95	1421	59
96	1435	44
97	1449	29
98	1462	14
99	1475	0
